id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2025-04-16,12,18.3,4,130,66.6,0.6,1014.9
12600,Bielsko Biała,2025-04-16,12,22.5,7,190,41.1,0.5,1012.6
12235,Chojnice,2025-04-16,12,20,4,200,61.4,0.3,1010.1
12550,Częstochowa,2025-04-16,12,25.2,2,180,40.1,0.4,1011.4
12160,Elbląg,2025-04-16,12,17.3,4,160,78.5,0.9,1011.2
12155,Gdańsk,2025-04-16,12,18.7,4,160,71.3,0,1010.6
12300,Gorzów,2025-04-16,12,22.6,3,260,50.1,0,1010
12135,Hel,2025-04-16,12,15.9,2,170,76.8,0.01,1011.3
12500,Jelenia Góra,2025-04-16,12,24.1,4,160,39.3,0.01,1009
12435,Kalisz,2025-04-16,12,24.1,5,150,51.1,2,1010.9
12650,Kasprowy Wierch,2025-04-16,12,6.2,12,180,93.9,17.8,
12560,Katowice,2025-04-16,12,23.9,5,170,39.3,0.4,1012.1
12185,Kętrzyn,2025-04-16,12,15.4,5,160,85.9,0.5,1013.2
12570,Kielce,2025-04-16,12,23.8,4,200,43.2,0.7,1012.8
12520,Kłodzko,2025-04-16,12,21.8,7,160,53.3,1.1,1010.7
12345,Koło,2025-04-16,12,23.2,4,180,52.6,1.6,1011.2
12100,Kołobrzeg,2025-04-16,12,13.7,3,150,78.6,0,1009.9
12105,Koszalin,2025-04-16,12,19,2,260,63.3,0,1010.1
12488,Kozienice,2025-04-16,12,22.3,4,180,53.1,3.6,1013.6
12566,Kraków,2025-04-16,12,25.3,6,230,35.3,1.4,1012.2
12670,Krosno,2025-04-16,12,22,7,200,50.3,9.3,1015.1
12415,Legnica,2025-04-16,12,24.3,4,110,50.1,0.01,1009.9
12690,Lesko,2025-04-16,12,20.4,7,190,46.3,5.1,1016.2
12418,Leszno,2025-04-16,12,24.3,4,160,41.3,0.01,1010.3
12125,Lębork,2025-04-16,12,16.7,1,220,74.4,0.9,1010.6
12495,Lublin,2025-04-16,12,21.1,3,220,57.3,2.6,1014.5
12120,Łeba,2025-04-16,12,16,2,30,75.8,0.01,1010.4
12465,Łódź,2025-04-16,12,27.7,4,99,46.1,1.1,1011.2
12280,Mikołajki,2025-04-16,12,16.7,4,130,74.4,1.1,1013.4
12270,Mława,2025-04-16,12,21,3,160,62.4,1.7,1012
12660,Nowy Sącz,2025-04-16,12,24.4,5,180,36.3,2.2,1013.2
12272,Olsztyn,2025-04-16,12,18,4,140,78.6,0.7,1012
12530,Opole,2025-04-16,12,24.4,5,180,45.1,0.01,1011.2
12285,Ostrołęka,2025-04-16,12,19.3,4,140,66.4,2.3,1013.3
12230,Piła,2025-04-16,12,21.9,3,220,55.2,0.01,1010.1
12001,Platforma,2025-04-16,12,,9,150,,0,
12360,Płock,2025-04-16,12,21.8,3,160,62.2,1.3,1011.4
12330,Poznań,2025-04-16,12,23.2,4,210,40.2,0.6,1010.4
12695,Przemyśl,2025-04-16,12,23.6,5,220,42.8,5,1015.1
12540,Racibórz,2025-04-16,12,24,7,190,41.2,0.1,1011.6
12210,Resko,2025-04-16,12,21.4,2,230,57.3,0.01,1009.5
12580,Rzeszów,2025-04-16,12,23.4,9,210,46.1,3.2,1014.5
12585,Sandomierz,2025-04-16,12,23,4,200,48.2,0.3,1013.8
12385,Siedlce,2025-04-16,12,19.5,4,160,67.3,2.7,1014.6
12310,Słubice,2025-04-16,12,24.4,1,190,42.2,0.01,1009.5
12469,Sulejów,2025-04-16,12,23.9,4,190,49.0,1,1011.8
12195,Suwałki,2025-04-16,12,14.6,5,120,76.6,1,1015.1
12205,Szczecin,2025-04-16,12,22.7,3,240,52.2,0,1009.4
12215,Szczecinek,2025-04-16,12,20.3,1,99,62.3,0.3,1010
12510,Śnieżka,2025-04-16,12,12.3,4,190,76.8,1.5,
12200,Świnoujście,2025-04-16,12,17.5,4,70,71.6,0,1009.3
12575,Tarnów,2025-04-16,12,25.2,4,170,43.2,1.4,1012.6
12399,Terespol,2025-04-16,12,20.1,4,160,57.5,2.6,1015.5
12250,Toruń,2025-04-16,12,23.8,4,200,49.0,0.5,1010.5
12115,Ustka,2025-04-16,12,13.1,3,30,81.8,0,1010.6
12375,Warszawa,2025-04-16,12,21.1,4,130,62.4,2.5,1013
12455,Wieluń,2025-04-16,12,24.8,3,190,45.2,0.8,1011.2
12497,Włodawa,2025-04-16,12,21.7,6,190,51.2,1,1014.9
12424,Wrocław,2025-04-16,12,26.3,6,170,45.2,0.4,1010.4
12625,Zakopane,2025-04-16,12,19.2,5,150,42.3,0.6,
12595,Zamość,2025-04-16,12,22.7,6,200,54.3,1.2,1015
12400,Zielona Góra,2025-04-16,12,23.5,3,210,40.3,0.01,1009.9
