stacja,temperatura,wilgotnosc_wzgledna,cisnienie,data_pobrania,suma_opadu
Białystok,20.6,37.4,1013.6,2025-04-15,
Bielsko Biała,15.1,64.7,1008.6,2025-04-15,
Chojnice,19.1,49.3,1007.9,2025-04-15,
Częstochowa,15.0,71.6,1008.6,2025-04-15,
Elbląg,20.0,48.5,1010.0,2025-04-15,
Gdańsk,21.9,43.3,1009.3,2025-04-15,
Gorzów,19.0,54.2,1005.0,2025-04-15,
Hel,15.4,59.6,1009.9,2025-04-15,
Jelenia Góra,13.0,85.7,1005.0,2025-04-15,
Kalisz,18.7,59.5,1007.0,2025-04-15,
Kasprowy Wierch,2.6,100.0,,2025-04-15,
Katowice,14.8,75.6,1008.9,2025-04-15,
Kętrzyn,20.3,49.2,1012.1,2025-04-15,
Kielce,13.3,78.5,1011.6,2025-04-15,
Kłodzko,12.6,88.0,1006.2,2025-04-15,
Koło,18.4,57.9,1008.1,2025-04-15,
Kołobrzeg,23.6,36.4,1004.8,2025-04-15,
Koszalin,22.8,39.3,1005.8,2025-04-15,
Kozienice,14.6,79.8,1012.6,2025-04-15,
Kraków,14.2,83.6,1009.8,2025-04-15,
Krosno,12.4,85.7,1013.2,2025-04-15,
Legnica,16.2,71.4,1005.3,2025-04-15,
Lesko,12.8,78.5,1014.1,2025-04-15,
Leszno,16.9,69.6,1005.9,2025-04-15,
Lębork,21.9,40.2,1008.1,2025-04-15,
Lublin,12.2,88.6,1014.1,2025-04-15,
Łeba,23.4,36.3,1008.0,2025-04-15,
Łódź,18.7,61.6,1008.9,2025-04-15,
Mikołajki,19.5,46.4,1012.5,2025-04-15,
Mława,18.8,52.3,1010.7,2025-04-15,
Nowy Sącz,14.8,67.4,1010.9,2025-04-15,
Olsztyn,19.8,47.5,1011.3,2025-04-15,
Opole,15.1,76.7,1007.3,2025-04-15,
Ostrołęka,19.7,43.7,1012.2,2025-04-15,
Piła,19.7,52.2,1006.7,2025-04-15,
Platforma,,,,2025-04-15,
Płock,17.8,59.3,1009.8,2025-04-15,
Poznań,17.2,69.6,1006.7,2025-04-15,
Przemyśl,11.3,96.7,1014.8,2025-04-15,
Racibórz,16.2,64.5,1007.4,2025-04-15,
Resko,21.5,41.2,1004.9,2025-04-15,
Rzeszów,13.4,92.9,1013.3,2025-04-15,
Sandomierz,13.2,86.9,1012.8,2025-04-15,
Siedlce,17.9,53.6,1013.2,2025-04-15,
Słubice,18.5,59.5,1003.8,2025-04-15,
Sulejów,15.2,68.4,1009.9,2025-04-15,
Suwałki,20.7,38.2,1013.8,2025-04-15,
Szczecin,21.9,42.1,1004.2,2025-04-15,
Szczecinek,19.3,50.3,1006.7,2025-04-15,
Śnieżka,4.3,100.0,,2025-04-15,
Świnoujście,24.1,34.3,1003.5,2025-04-15,
Tarnów,12.9,84.6,1011.1,2025-04-15,
Terespol,18.2,44.5,1014.8,2025-04-15,
Toruń,19.6,51.5,1008.6,2025-04-15,
Ustka,24.0,34.3,1006.9,2025-04-15,
Warszawa,16.2,67.6,1011.9,2025-04-15,
Wieluń,15.5,74.7,1008.0,2025-04-15,
Włodawa,16.2,55.4,1015.1,2025-04-15,
Wrocław,16.1,73.8,1006.3,2025-04-15,
Zakopane,13.7,61.3,,2025-04-15,
Zamość,11.9,91.6,1015.5,2025-04-15,
Zielona Góra,16.8,65.5,1004.4,2025-04-15,
Białystok,18.3,66.6,1014.9,2025-04-16,0.6
Bielsko Biała,22.5,41.1,1012.6,2025-04-16,0.5
Chojnice,20.0,61.4,1010.1,2025-04-16,0.3
Częstochowa,25.2,40.1,1011.4,2025-04-16,0.4
Elbląg,17.3,78.5,1011.2,2025-04-16,0.9
Gdańsk,18.7,71.3,1010.6,2025-04-16,0.0
Gorzów,22.6,50.1,1010.0,2025-04-16,0.0
Hel,15.9,76.8,1011.3,2025-04-16,0.01
Jelenia Góra,24.1,39.3,1009.0,2025-04-16,0.01
Kalisz,24.1,51.1,1010.9,2025-04-16,2.0
Kasprowy Wierch,6.2,93.9,,2025-04-16,17.8
Katowice,23.9,39.3,1012.1,2025-04-16,0.4
Kętrzyn,15.4,85.9,1013.2,2025-04-16,0.5
Kielce,23.8,43.2,1012.8,2025-04-16,0.7
Kłodzko,21.8,53.3,1010.7,2025-04-16,1.1
Koło,23.2,52.6,1011.2,2025-04-16,1.6
Kołobrzeg,13.7,78.6,1009.9,2025-04-16,0.0
Koszalin,19.0,63.3,1010.1,2025-04-16,0.0
Kozienice,22.3,53.1,1013.6,2025-04-16,3.6
Kraków,25.3,35.3,1012.2,2025-04-16,1.4
Krosno,22.0,50.3,1015.1,2025-04-16,9.3
Legnica,24.3,50.1,1009.9,2025-04-16,0.01
Lesko,20.4,46.3,1016.2,2025-04-16,5.1
Leszno,24.3,41.3,1010.3,2025-04-16,0.01
Lębork,16.7,74.4,1010.6,2025-04-16,0.9
Lublin,21.1,57.3,1014.5,2025-04-16,2.6
Łeba,16.0,75.8,1010.4,2025-04-16,0.01
Łódź,27.7,46.1,1011.2,2025-04-16,1.1
Mikołajki,16.7,74.4,1013.4,2025-04-16,1.1
Mława,21.0,62.4,1012.0,2025-04-16,1.7
Nowy Sącz,24.4,36.3,1013.2,2025-04-16,2.2
Olsztyn,18.0,78.6,1012.0,2025-04-16,0.7
Opole,24.4,45.1,1011.2,2025-04-16,0.01
Ostrołęka,19.3,66.4,1013.3,2025-04-16,2.3
Piła,21.9,55.2,1010.1,2025-04-16,0.01
Platforma,,,,2025-04-16,0.0
Płock,21.8,62.2,1011.4,2025-04-16,1.3
Poznań,23.2,40.2,1010.4,2025-04-16,0.6
Przemyśl,23.6,42.8,1015.1,2025-04-16,5.0
